종목명,개인,외국인,기관계,기관,,,,,,,기타법인
두산인프라코어,+123,+1026,-1217,-663,-311,-276,,+5,+28,,+66
두산,+298,-580,+205,+12,,+539,,,-270,-76,+76
두산2우B,,,,,,,,,,,
두산우,-113,-13,+126,,,+126,,,,,
두산중공업,+1982,-3589,+1622,+648,-273,-24,,,+1481,-209,-10
롯데쇼핑,+415,+152,-555,+17,-48,+167,,,-694,+2,+2
롯데정밀화학,-120,-1920,+2299,+236,+213,+456,,+25,+1228,+140,-74
롯데정보통신,+348,+108,-457,-3,,-205,,,-250,+1,
롯데케미칼,+15016,-7546,-7694,-691,-135,-2535,+39,,-4106,-266,+179
롯데푸드,+34,-38,-18,-11,,-3,,,,-4,+24
롯데하이마트,-784,+121,+663,+65,-1,+33,,,+364,+202,
미니금 100g,+244,,-12,-57,,,+45,,,,-255
미래에셋생명,-18,+56,-36,+3,,-1,,-32,-5,,+13
미래에셋증권2우B,+1318,-515,-856,-819,-1,-195,,,+109,+50,+42
미래에셋증권,-1052,+273,+713,+998,-10,+21,,-87,-214,+4,+71
미래에셋증권우,+444,-394,-54,-54,,,,,,,+4
부산가스,-136,+136,,,,,,,,,
부산산업,-241,+223,,,,,,,,,+18
빙그레,-241,+23,+222,+105,-1,+2,+44,,+6,+65,
사조대림,-69,+99,-27,-22,,,,,,-5,-3
사조산업,-43,+88,,,,,,,,,-45
사조오양,+71,-35,-29,-24,,,,,,-5,-8
삼성 S&P500 VIX S/T 선물 ETN(H) B,,,,,,,,,,,
삼성SDI,-1212,+4446,-3301,+3654,-158,+70,,+195,-6258,-804,+157
삼성SDI우,-339,+166,,,,,,,,,+175
삼성엔지니어링,-9446,+5111,+4112,+836,-4,+1032,,+101,+2364,-217,+261
삼성전기우,-92,+104,,,,,,,,,-2
삼성전기,+2621,-2389,-794,+2026,-100,-2905,,+48,+367,-230,+516
삼성중공업,-371,-101,+351,+100,+11,+121,,,+119,,-76
삼성중공우,+7,,,,,,,,,,
삼성증권,-14116,+7871,+6224,+2029,+125,+1678,,+104,-22,+2310,+72
삼성카드,-1217,+880,+336,-26,-2,+3,,,+339,+22,
삼양사,-46,+42,-27,-22,,+1,,,-3,-4,+31
삼양식품,+271,-253,-19,+2,-1,+45,,,-43,-21,-1
삼양통상,-34,+8,+17,+30,,+2,-20,,,+6,+9
삼양패키징,+631,+253,-927,-159,-1,-124,,+1,,-645,+41
삼양홀딩스,-719,+267,+586,+210,-1,-3,,-13,-8,+401,-127
삼천리,+553,-490,+21,+28,,,,,-12,+5,
서울가스,+17,-11,,,,,,,,,-6
성신양회,-12,-21,+44,+26,,,,,,+18,-14
세아베스틸,-982,+466,+441,+80,-112,+48,-3,-3,+430,,+70
세아제강,+592,+636,-1867,-86,-60,-3273,-5,-115,+307,+1365,+503
세아제강지주,+496,+142,-655,+1,-70,-506,-6,-74,,,+8
세아특수강,+756,+64,-7,,,-1,-6,,,,-818
신대양제지,+106,-46,-57,-54,,,,,,-3,-2
신도리코,+82,-131,+50,,,,+36,,+14,,
신세계 I&C,-785,-111,+894,+29,+350,+38,,,+504,-27,+2
신세계건설,+32,-44,,,,,,,,,
신세계인터내셔날,+400,-312,-76,-181,-281,-381,,-36,+946,-143,
신세계,-1350,-880,+2510,+478,+1541,-262,,+50,+693,+8,-192
신세계푸드,-159,-134,+293,,,,,,,+293,-2
신영와코루,+64,-2,-8,-8,,,,,,,-54
신영증권,-522,+223,+338,+280,,,-4,,+62,,-40
신영증권우,-154,+39,+119,+120,,,-2,,,+1,
신한 S&P500 VIX S/T 선물 ETN B,,,,,,,,,,,
신한지주,-19804,+14335,+8146,+681,+1880,+1988,+565,+38,+1554,+1440,-1817
아세아시멘트,+1008,-557,-261,-72,,-2,,,-430,+243,-199
아세아,+18,-25,+8,+6,,,,,,+2,-1
아세아제지,-68,-40,,-4,,,,,,+4,+108
아시아나항공,-87,+92,+1,+15,-1,,,,-13,,
에이리츠,-61,+22,-3,-3,,,,,,,+41
영풍,-615,+289,+299,+78,,+1,+33,,+193,-6,+27
예스코홀딩스,+3,-7,,,,,,,,,+4
오뚜기,+2097,-488,-1616,-893,-1,-2,-25,,-696,+1,
용평리조트,-3,-4,+3,+3,,,,,,,
우리금융지주,+4073,-6163,+1870,-250,+916,+1816,+462,-24,+41,-1090,+232
우리금융캐피탈,-83,-14,+96,+3,-1,+93,,,,,+1
유니드,-1480,-258,+1665,+515,,+865,+165,,+8,+113,+67
유안타증권우,+110,-88,,,,,,,,,
유안타증권,-1454,+1470,+107,+16,,,,,+92,,-99
유진투자증권,-771,+411,+60,+11,,,,,+49,,+304
이건산업,-322,+170,+1,,,,,,-19,+20,+147
이마트,+4315,+1653,-6079,+67,-2864,-797,,-55,-2407,-23,+43
이수화학,-6227,+3876,+2442,+248,,+515,,-10,+200,+1488,-147
인천도시가스,,,,,,,,,,,
일성신약,+33,-24,-9,,,,-9,,,,
일신방직,+452,-119,-487,,,-470,-18,,,,+154
제이콘텐트리,+1,-78,+69,+13,,-8,,,+73,-9,+7
제주은행,+97,-102,,,,,,,,,
제주항공,-1082,+393,+689,+213,+1,+320,+105,+50,-1,,
조광피혁,-8,-1,+9,,,,,,,+10,
조비,-47,+47,,,,,,,,,
조선내화,-42,-9,+31,+3,,,+27,,,,+20
조흥,,,,,,,,,,,
지역난방공사,-2,-51,+54,+2,,-2,,,+54,,
천일고속,-22,+1,,,,,,,,,+21
코오롱인더우,-16,+34,,,,,,,,,+1
코오롱인더,-1745,+618,+1124,-105,-2,+1159,,,+104,-31,+2
코오롱,-839,+830,+7,+4,+1,,,,,+1,-1
코오롱글로벌,-5838,+3633,+2216,+33,+393,+136,+172,-59,+1660,-120,-18
키움증권,-2389,+929,+1235,-601,-53,-288,,+72,+2090,+15,+232
태광산업,-108,-122,+237,-10,+4,+2,-13,,+253,,
파워 200,+1,,-1,+1,,-2,,,,,
포스코인터내셔널,+6049,-2224,-3615,-42,-3,-33,,+92,-3630,,-214
풍산홀딩스,-23,+31,,,,,,,,,-7
풍산,+108,-353,+174,+211,-1,+2,,,-11,-27,+35
하나금융지주,-14695,+9341,+6931,+1539,-2190,+2882,+548,+47,+3341,+763,+17
하이트진로홀딩스,+8,+7,-16,,,,,,,-16,+1
하이트진로,+2048,-89,-2138,+11,+1,-446,,-18,+38,-1724,+184
한국가스공사,+588,-1128,+530,+62,-28,-25,,,+522,,+10
한국공항,-14,-70,+82,,+14,,+25,+1,+41,,+2
한국금융지주,-7172,+10352,-3349,-150,-538,-859,+7,-166,-2990,+1347,+199
한국금융지주우,-254,+206,+20,+12,,,,,,+8,+22
한국수출포장,-46,-32,+78,+78,,,,,,,
한국쉘석유,-147,+165,-18,-16,,-2,,,,,
한국전력,+1437,+834,-2325,+1033,+27,+39,,+24,-3497,+50,-19
한국조선해양,-2064,-94,+3815,+405,-176,+2945,,+48,+306,+287,-1659
한국항공우주,+1759,+95,-1802,-369,-276,-113,+19,,-1038,-25,-76
한라홀딩스,+80,-101,+7,+36,,-1,,,-7,-21,+10
한솔제지,+147,-191,+18,+17,+1,-1,,,,+1,+18
한솔케미칼,-2449,+1183,+1305,+586,-179,-373,-247,,+973,+545,-16
한솔테크닉스,-340,+333,-2,+5,,-7,,,,,+26
한신공영,-26,+129,-32,-74,,,,,+184,-142,-57
한양증권,-7,+33,-21,,,,,,,-21,-4
한일시멘트,+390,-334,-50,-9,,,,,-35,-7,
한일현대시멘트,-115,+93,+20,+19,,+2,,,-1,,
한화생명,-15320,+12894,+2356,+171,+9,-175,,,+2326,+26,+83
한화3우B,-196,-38,+231,+6,,,,,,+225,+3
한화시스템,+2732,-1730,-1196,+7,-115,-967,,,-347,+227,+203
한화,-737,+371,+364,+419,-1,+9,,,-57,-5,-21
한화손해보험,+146,+7,-188,+22,,+51,,,-478,+216,+30
한화솔루션,+10030,-4299,-5587,-1154,-597,+250,,+147,-4801,+568,-316
한화솔루션우,+18,-36,,,,,,,,,
한화에어로스페이스,-3196,+1580,+2097,-307,-3,+1851,,,+560,-4,-385
해성디에스,-382,-10,+391,+32,+51,,+102,,+80,+125,-1
현대건설,-15942,+5801,+10508,+661,+125,+1090,-3,+25,+8342,+268,-277
현대건설기계,+2421,-4048,+1006,+8,+332,+29,,,+690,-54,+636
현대로템,+2210,-1787,-51,+69,-2,-44,,+100,-174,,-368
현대모비스,+138221,-23377,-120333,-13831,-9700,-31627,-5,-154,-63722,-1293,+5187
현대미포조선,+4027,-488,-3539,-30,-2,-194,-11,,-1601,-1702,-33
현대백화점,+3101,+2191,-5401,-894,-86,-1088,+25,,-1370,-1988,+8
현대에너지솔루션,+843,-734,+90,+32,,,,,+62,-4,-197
현대엘리베이,+782,-23,-819,-143,-400,+5,,,-281,,+60
현대위아,+8971,-1800,-7655,-651,-89,-3603,-12,+50,-3350,,+453
현대일렉트릭,-239,+20,+247,+1,+106,+101,,+100,-61,,
현대제철,-25335,+13599,+11406,+3453,+926,+2725,,+149,+3844,+308,+408
현대차2우B,-2769,+997,+1893,+23,-160,+2376,+22,+202,-148,-423,-127
현대차3우B,+195,-65,-131,+17,-1,,+14,,-151,-11,
현대차우,+2179,-1988,-162,-78,,-10,-1,,-73,,-23
현대차,+122867,-62416,-57478,-10527,-3974,-4457,-38,+115,-31442,-7155,-3557
현대차증권,-716,+722,-6,-14,,+8,,,,,
현대코퍼레이션,-128,+9,+113,+13,,,,,+99,,+6
현대코퍼레이션홀딩스,+64,-79,+10,+10,,,,,,,+5
현대홈쇼핑,+218,+196,-512,+8,-1,+27,,,-547,+1,+98
호텔신라,+2443,-468,-2170,+60,-438,+165,,-38,-1461,-458,+172
호텔신라우,-473,+332,+144,,,,,,,+144,+5
화성산업,-471,+448,+18,+19,,,,,,,+1
화천기공,-49,+43,+4,+4,,,,,,,
효성중공업,+1073,-946,+402,+29,+133,+242,,,-1,,-522
효성첨단소재,+3370,-1419,-1472,+98,,+105,,,-1676,,-466
효성,-1674,+1844,+39,-1,-3,+35,,,-386,+394,-210
효성티앤씨,-1069,-267,+1700,-16,-7,+4,,-153,+2021,-150,-385
효성화학,-4234,+6121,-1718,+534,-1461,-61,,,-345,-385,-123
휴니드,+47,-27,,,,,,,,,-2
휴비스,+232,-221,-2,-1,,-1,,,,,
휴스틸,-492,+466,-3,,,,,,,-3,+28
흥국 S&P코리아로우볼,,,,,,,,,,,
흥국화재,-197,+187,+5,,,,,,,+4,+1
AJ네트웍스,+136,-17,+40,+30,,,,,,+10,-160
ARIRANG 200동일가중,,,,,,,,,,,
ARIRANG 200선물레버리지,-5,,+5,+5,,,,,,,
ARIRANG 200선물인버스2X,+64,,-81,-81,,,,,,,+17
ARIRANG ESG우수기업,+5,,-5,-5,,,,,,,
ARIRANG S&P글로벌인프라,-1,,+1,+1,,,,,,,
ARIRANG 국채선물3년,,,,,,,,,,,
ARIRANG 스마트베타Quality채권혼합,,,,+1,,,-1,,,,
ARIRANG 신흥국MSCI인버스(합성 H),-1,,+1,+1,,,,,,,
ARIRANG 코스닥150,-6,,+5,+5,,,,,,,
ARIRANG 코스피중형주,,,,,,,,,,,
ARIRANG 탄소효율그린뉴딜,-2,,+2,+2,,,,,,,
BYC우,+2,,-2,,,,-2,,,,
CJ씨푸드1우,,,,,,,,,,,
DB하이텍1우,-25,,+25,+25,,,,,,,
ESR켄달스퀘어리츠,+460,-1074,+609,+105,,+608,,-54,,-49,+8
FOCUS ESG리더스,+1,,-1,-1,,,,,,,
HANARO 200선물레버리지,-90,,+90,+90,,,,,,,
HANARO Fn K-뉴딜디지털플러스,-29,,+29,-23,,-1,+216,,,-164,
HANARO Fn5G산업,+49,,-49,-124,,-1,+75,,,,
HANARO Fn전기&수소차,+64,,-67,-68,,-1,+1,,,,
HANARO Fn친환경에너지,+175,,-175,-175,,-1,,,,,
HANARO 단기통안채,,,,,,,,,,,
HANARO 코스닥150선물레버리지,,,,,,,,,,,
HANARO 탄소효율그린뉴딜,+2,,-2,-397,,-1,+395,,,,
HSD엔진,+151,-56,-44,,,-8,,,,-36,-54
JW중외제약2우B,,,,,,,,,,,
JW중외제약우,-1,+1,,,,,,,,,
KB FnGuide 언택트 ETN,,,,,,,,,,,
KB KRX ESG Eco ETN,+3,,-3,-3,,,,,,,
KB KRX300 ETN,,,,,,,,,,,
KB Wise 분할매매 ETN,,,,,,,,,,,
KB 레버리지 S&P 500 선물 ETN(H),+24,,-24,-24,,,,,,,
KB 레버리지 나스닥 100 ETN,-5,,+5,+5,,,,,,,
KB 인버스 2X S&P 500 선물 ETN,,,,,,,,,,,
KB 인버스 2X 나스닥 100 ETN,,,,,,,,,,,
KBSTAR 200TR,-5,,+5,+5,,,,,,,
KBSTAR 200건설,+9,,-9,-9,,,,,,,
KBSTAR 200경기소비재,,,,-1,,,,,,,
KBSTAR 200고배당커버드콜ATM,,,,,,,,,,,
KBSTAR 200금융,-2,,,,,,,,,,
KBSTAR 200산업재,-1,,+1,+1,,,,,,,
KBSTAR 200선물레버리지,-16,-2,+19,+76,,,-56,,,,
KBSTAR 200선물인버스2X,+37,,-38,-38,,,,,,,+1
KBSTAR 200선물인버스,-8,+2,+6,+8,,-2,,,,,
KBSTAR 200에너지화학,+11,,-11,-11,,,,,,,
KBSTAR 200중공업,+8,,-8,-8,,,,,,,
KBSTAR 200철강소재,+35,,-35,-35,,,,,,,
KBSTAR 200커뮤니케이션서비스,,,,,,,,,,,
KBSTAR Fn K-뉴딜디지털플러스,-4,,+4,+4,,,,,,,
KBSTAR Fn5G테크,-93,+25,+68,-3,,,,,,+71,
KBSTAR Fn수소경제테마,+393,-4,-383,-1270,,,+888,,,,
KBSTAR KRX300레버리지,,,,,,,,,,,
KBSTAR KRX300미국달러선물혼합,,,,,,,,,,,
KBSTAR KRX국채선물3년10년스티프너,,,,,,,,,,,
KBSTAR KRX국채선물3년10년플래트너,,,,,,,,,,,
KBSTAR KRX국채선물3년10년스티프너2X,-99,,+99,+256,-157,,,,,,
KBSTAR KRX국채선물3년10년플래트너2X,,,,-146,+146,,,,,,
KBSTAR 국채선물10년인버스,,,,,,,,,,,
KBSTAR 글로벌데이터센터리츠나스닥(합성),+2,,-2,-2,,,,,,,
KBSTAR 내수주플러스,,,,-902,,,+902,,,,
KBSTAR 모멘텀밸류,+1,,-1,-1,,,,,,,
KBSTAR 미국S&P500,+218,,-338,-338,,,,,,,+101
KBSTAR 미국나스닥100,+690,,-753,-753,,,,,,,+63
KBSTAR 미국장기국채선물레버리지(합성 H),+1,,-1,-1,,,,,,,
KBSTAR 미국장기국채선물(H),+3,,-3,-3,,,,,,,
KBSTAR 미국장기국채선물인버스2X(합성 H),+6,,-7,-2,,-4,,,,,
KBSTAR 미국장기국채선물인버스(H),,,,,,,,,,,
KBSTAR 수출주,+3,,-3,+19,,,-22,,,,
KBSTAR 우량업종,,,,,,,,,,,
KBSTAR 유로스탁스50(H),+11,,-11,-11,,,,,,,
KBSTAR 중소형모멘텀밸류,+1,,-1,-1,,,,,,,
KBSTAR 중소형모멘텀로우볼,,,,,,,,,,,
KBSTAR 차이나H선물인버스(H),+1,,-1,-1,,,,,,,
KBSTAR 차이나항셍테크,-32,+22,+9,+9,,,,,,,
KBSTAR 채권혼합,+1,,-1,,,,,,,,
KBSTAR 코스닥150선물레버리지,+4,,-4,+252,,,-256,,,,
KBSTAR 팔라듐선물인버스(H),+1,,-1,-1,,,,,,,
KCTC,-265,+63,,,,,,,,,+217
KC코트렐,+345,-350,,,,,,,,,
KG동부제철우,,,,,,,,,,,
KINDEX Fn K-뉴딜디지털플러스,,,,,,,,,,,
KINDEX Fn5G플러스,,,,,,,,,,,
KINDEX KIS종합채권(AA-이상)액티브,,,,,,,,,,,
KINDEX 골드선물 레버리지(합성 H),+52,,-42,-42,,,,,,,-1
KINDEX 국고채10년,+1,,-1,-1,,,,,,,
KINDEX 국채선물10년인버스,,,,,,,,,,,
KINDEX 국채선물3년인버스,,,,,,,,,,,
KINDEX 레버리지,-40,,+40,+40,,,,,,,
KINDEX 멕시코MSCI(합성),-22,,+22,+22,,,,,,,
KINDEX 모닝스타싱가포르리츠채권혼합,,,,,,,,,,,
KINDEX 미국나스닥100,+844,,-856,-861,,,+5,,,,+4
KINDEX 배당성장,+1,,-1,-2,,+1,,,,,
KINDEX 블룸버그베트남VN30선물레버리지(H),+176,,-176,-176,,,,,,,
KINDEX 삼성그룹동일가중,-6,,+6,+6,,,,,,,
KINDEX 스마트하이베타,,,,,,,,,,,
KINDEX 일본TOPIX레버리지(H),+1,,-1,-1,,,,,,,
KINDEX 중국본토CSI300레버리지(합성),-21,+20,+1,+1,,,,,,,
KINDEX 중장기국공채액티브,-3,,+3,+3,,,,,,,
KINDEX 차이나항셍테크,-23,-2,+25,+25,,,,,,,
KINDEX 코스닥(합성),,,,,,,,,,,
KODEX 200 중소형,+17,,-17,-757,,+650,+89,,,,
KODEX 200IT TR,-11,,+11,+11,,,,,,,
KODEX 200동일가중,,,,,,,,,,,
KODEX 200선물인버스2X,+53471,-23914,-30507,-31411,,+268,,,,+636,+501
KODEX China H 레버리지(H),-621,,+542,+542,,,,,,,+79
KODEX Fn K-뉴딜디지털플러스,+3,,-4,-104,,,+100,,,,
KODEX FnKorea50,,,,,,,,,,,
KODEX K-이노베이션액티브,-25,,+25,+25,,,,,,,
KODEX KRX300레버리지,+8,,-8,-8,,,,,,,
KODEX MSCI EM선물(H),,,,+33,,-19,,,,-13,
KODEX TSE일본리츠(H),+3,,-3,-3,,,,,,,
KODEX 골드선물인버스(H),-4,,,,,,,,,,-1
KODEX 국채선물3년인버스,,,,,,,,,,,
KODEX 레버리지,-41202,-2863,+50508,+51440,-904,+449,-480,,,+2,-6434
KODEX 멀티에셋하이인컴(H),-3,,+3,+20,,,-17,,,,
KODEX 미국S&P500TR,+2553,,-2560,-3278,+718,,,,,,
KODEX 미국나스닥100TR,+1725,,-1731,-2466,+734,,,,,,
KODEX 미국달러선물인버스2X,-25,,+25,+25,,,,,,,
KODEX 미국달러선물레버리지,-258,,+258,+263,,-5,,,,,
KODEX 미국채울트라30년선물인버스(H),-1,,+1,+1,,,,,,,
KODEX 밸류Plus,+2,,-2,-4,+2,,,,,,
KODEX 운송,+63,,-67,-68,,,,,,,+3
KODEX 장기종합채권(AA-이상)액티브KAP,,,,,,,,,,,
KODEX 차이나항셍테크,-517,+15,+503,+1350,,-6,-783,,-59,,
KODEX 코스닥150 레버리지,-5677,-685,+6232,+6485,,+163,-270,,,-146,+189
KODEX 탄소효율그린뉴딜,-7,,+7,+7,,,,,,,
KODEX 혁신기술테마액티브,-2,,+2,+2,,,,,,,
KOSEF 200선물레버리지,-5,,+5,+5,,,,,,,
KOSEF 200선물인버스2X,+117,-34,-82,-86,,,,,+3,,
KOSEF 국고채10년레버리지,+11,,-11,-11,,,,,,,
KOSEF 미국달러선물인버스2X,-26,,+26,+26,,,,,,,
KOSEF 미국달러선물레버리지,-12,,+12,+12,,,,,,,
KOSEF 미국방어배당성장나스닥,+5,,-5,-5,,,,,,,
KOSEF 코스닥150선물레버리지,-6,-1,+7,+7,,,,,,,
KR모터스,-102,+87,,,,,,,,,
KTOP 코스피50,+1,,-1,-4,+3,,,,,,
LG하우시스우,-16,+26,-11,,,,,,,-11,
MH에탄올,+574,-571,,,,,,,,,-4
NPC우,,,,,,,,,,,
QV S&P500 VIX S/T 선물 ETN C,-6,,+6,+6,,,,,,,
QV iSelect 글로벌 EMP ETN(H),,,,,,,,,,,
QV 건설 TOP5 ETN,-1,,+1,+1,,,,,,,
QV 내수소비 TOP5 ETN,,,,,,,,,,,
QV 레버리지 S&P500 ETN,,,,,,,,,,,
QV 레버리지 WTI원유 선물 ETN(H),-21,,+21,+21,,,,,,,
QV 미국 IT TOP5 ETN(H),+1,,-1,+2,,,-3,,,,
QV 바이오 TOP5 ETN,+1,,-1,-1,,,,,,,
QV 소프트웨어 TOP5 ETN,,,,,,,,,,,
QV 에너지 TOP5 ETN,,,,,,,,,,,
QV 운송 TOP5 ETN,,,,,,,,,,,
QV 의료 TOP5 ETN,+9,,-9,-9,,,,,,,
QV 인버스 레버리지 S&P500 ETN,,,,,,,,,,,
QV 인버스 레버리지 WTI원유 선물 ETN(H),+11,,-11,-11,,,,,,,
QV 자동차 TOP5 ETN,,,,,,,,,,,
QV 제약 TOP5 ETN,,,,,,,,,,,
QV 조선 TOP5 ETN,-1,,+1,+1,,,,,,,
QV 코스피 변동성 매칭형 양매도 ETN,,,,,,,,,,,
QV 하드웨어 TOP5 ETN,,,,,,,,,,,
QV 화학 TOP5 ETN,,,,,,,,,,,
SK네트웍스우,,,,,,,,,,,
SK증권우,,,,,,,,,,,
SMART 선진국MSCI World(합성 H),+1,,-1,-1,,,,,,,
SMART 중국본토 중소형 CSI500(합성 H),,,,,,,,,,,
STX,-57,+60,-1,-1,,,,,,,
STX중공업,-10,+12,,,,,,,,,
SUN&L,-146,+60,+50,,,,,,,+50,+35
TBH글로벌,+1,,,,,,,,,,
TIGER 200 산업재,-4,,+4,+4,,,,,,,
TIGER 200 생활소비재,-12,,+12,+12,,,,,,,
TIGER 200 철강소재,+437,-20,-1282,-1538,,,,+66,+190,,+863
TIGER 200IT레버리지,-386,,+417,+417,,,,,,,
TIGER 200동일가중,,,,,,,,,,,
TIGER 200선물레버리지,-244,+102,+178,+178,,,,,,,-37
TIGER 200선물인버스2X,+1045,-1597,+398,+398,,,,,,,+30
TIGER 200에너지화학레버리지,-82,,+108,+126,,-18,,,,,
TIGER 200커버드콜5%OTM,,,,,,,,,,,
TIGER 200커버드콜ATM,,,,,,,,,,,
TIGER AI코리아그로스액티브,+9,,-9,-9,,,,,,,
TIGER Fn신재생에너지,+542,,-543,-543,,,,,,,
TIGER K게임,-3,,+3,+3,,,,,,,
TIGER MSCI KOREA ESG리더스,+5,,-5,-5,,,,,,,
TIGER S&P글로벌인프라(합성),-58,,+58,+58,,,,,,,
TIGER 국채선물10년인버스,-15,,+15,+15,,,,,,,
TIGER 국채선물3년인버스,,,,,,,,,,,
TIGER 글로벌클라우드컴퓨팅INDXX,+11,-36,+25,+24,,,,,,,
TIGER 금속선물(H),+22,,-22,-22,,,,,,,
TIGER 레버리지,-214,+277,-31,-31,,,,,,,-32
TIGER 미국S&P500레버리지(합성 H),+172,,-175,-170,,-5,,,,,+2
TIGER 미국달러선물레버리지,-3,,+3,+3,,,,,,,
TIGER 미국달러선물인버스2X,,,,,,,,,,,
TIGER 미국테크TOP10 INDXX,+5769,,-5722,-5411,,-499,+188,,,,-81
TIGER 미국필라델피아반도체나스닥,+5522,-1148,-4420,-5040,+300,-471,+792,,,,+26
TIGER 원유선물인버스(H),,,+7,+7,,,,,,,-7
TIGER 유로스탁스레버리지(합성 H),-12,,+15,+22,,-7,,,,,
TIGER 은행,-207,,+206,+309,,,-103,,,,
TIGER 이머징마켓MSCI레버리지(합성 H),+1,,-1,-1,,,,,,,
TIGER 인도니프티50레버리지(합성),-91,,+91,+91,,,,,,,
TIGER 일본TOPIX헬스케어(합성),-1,,+1,+1,,,,,,,
TIGER 중소형가치,+1,,-1,-1,,,,,,,
TIGER 지주회사,+4,,-4,-4,,,,,,,
TIGER 차이나CSI300레버리지(합성),-420,+315,+109,+117,,-8,,,,,-1
TIGER 차이나바이오테크SOLACTIVE,-241,+207,+17,-8,,,+25,,,,+19
TIGER 차이나항셍테크,-865,+105,+762,+767,,,-5,,,,
TIGER 코스닥150 레버리지,-77,-11,+88,+88,,,,,,,
TIGER 탄소효율그린뉴딜,-77,,+77,+77,,,,,,,
TREX 200,,,,-7,,+7,,,,,
TREX 펀더멘탈 200,,,,,,,,,,,
TRUE FTSE100 ETN,+20,,-20,-20,,,,,,,
TRUE S&P500 선물 ETN,,,,,,,,,,,
TRUE S&P500 양매도 4% OTM ETN(H),,,,,,,,,,,
TRUE 나스닥 100 ETN,,,,,,,,,,,
TRUE 레버리지 HSCEI ETN(H),,,,,,,,,,,
TRUE 레버리지 S&P500 선물 ETN(H),+166,,-171,-171,,,,,,,+5
TRUE 레버리지 나스닥 100 ETN,+232,,-237,-237,,,,,,,+5
TRUE 레버리지 엔선물 ETN B,-8,,+8,+8,,,,,,,
TRUE 레버리지 유로스탁스50 ETN(H) B,,,,,,,,,,,
TRUE 레버리지 천연가스 선물 ETN(H),-201,,+201,+201,,,,,,,
TRUE 엔선물 ETN B,,,,,,,,,,,
TRUE 유로선물 ETN B,,,,,,,,,,,
TRUE 유로스탁스50 양매도 5% OTM ETN(H),,,,,,,,,,,
TRUE 인버스 2X HSCEI ETN(H),+5,,-5,-5,,,,,,,
TRUE 인버스 2X S&P500 선물 ETN(H),-5,,+5,+5,,,,,,,
TRUE 인버스 2X 나스닥 100 ETN,-425,,+426,+426,,,,,,,
TRUE 인버스 2X 유로스탁스50 ETN(H),-1,,+1,+1,,,,,,,
TRUE 인버스 2X 천연가스 선물 ETN(H),+99,,-99,-99,,,,,,,
TRUE 인버스 HSCEI ETN(H) B,,,,,,,,,,,
TRUE 인버스 나스닥 100 ETN,+6,,-6,-6,,,,,,,
TRUE 인버스 엔선물 ETN B,,,,,,,,,,,
TRUE 인버스 유로선물 ETN B,,,,,,,,,,,
TRUE 인버스 유로스탁스50 ETN(H) B,,,,,,,,,,,
TRUE 인버스 플래티넘 선물 ETN,,,,,,,,,,,
TRUE 코스피 양매도 5% OTM ETN,+2,,-2,-2,,,,,,,
TRUE 코스피 양매도 ATM ETN,,,,,,,,,,,
TRUE 코스피 양매도 3% OTM ETN,,,,,,,,,,,
TRUE 코스피 커버드콜 ETN B,,,,,,,,,,,
TRUE 코스피 커버드풋 ETN B,,,,,,,,,,,
TRUE 플래티넘 선물 ETN,+2,,-2,-2,,,,,,,
WISCOM,+91,-17,-74,-67,,-6,,,,,
갤럭시아에스엠,+9,-10,,,,,,,,,
계양전기우,,,,,,,,,,,
국보,-384,+330,,,,,,,,,+53
금강공업우,+1,,,,,,,,,,
금호건설우,-1,,,,,,,,,,
금호석유우,+317,-297,+24,+18,,-116,,,+83,+39,-51
금호전기,-96,+88,,,,,,,,,+8
금호타이어,-298,+120,+178,+190,-1,,,,-11,,
까뮤이앤씨,+320,-321,,,,,,,,,+1
깨끗한나라,-287,+336,,,,,,,,,+5
깨끗한나라우,,,,,,,,,,,
남선알미우,,,,,,,,,,,
남양유업우,,,,,,,,,,,
넥센우,,,,,,,,,,,
넥센타이어1우B,+11,,-11,,,,,,,-11,
넥스트사이언스,-707,+810,+15,,,+9,,+5,,,-10
노루페인트우,-1,-20,,,,,,,,,+3
노루홀딩스우,+4,,-3,-3,,,,,,,
대구백화점,-30,+30,,,,,,,,,
대덕1우,+1,,,,,,,,,,
대덕전자1우,-161,+126,,,,,,,,,+20
대림통상,-4,+4,,,,,,,,,
대상우,-34,+34,,,,,,,,,
대상홀딩스우,-60,+55,,,,,,,,,
대성산업,+10,-29,+19,+16,,,,,,+3,
대성홀딩스,-105,+114,+4,+4,,,,,,,
대신 2X 니켈선물 ETN(H),-226,,+237,+237,,,,,,,
대신 2X 아연선물 ETN(H),,,,,,,,,,,
대신 WTI원유 선물 ETN(H),-4,,+4,+4,,,,,,,
대신 골드 커버드콜 타겟 5%인컴 ETN(H),,,,,,,,,,,
대신 니켈선물 ETN(H),-5,,+4,+4,,,,,,,
대신 밀 선물 ETN(H),,,,,,,,,,,
대신 아연선물 ETN(H),+1,,-1,-1,,,,,,,
대신 알루미늄 선물 ETN(H),,,,,,,,,,,
대신 인버스 2X 니켈선물 ETN(H),+2,,-2,-2,,,,,,,
대신 인버스 니켈선물 ETN(H),+1,,-1,-1,,,,,,,
대신 인버스 아연선물 ETN(H),+3,,-3,-3,,,,,,,
대신 인버스 철광석 선물 ETN(H),+40,,-40,-40,,,,,,,
